,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
180,46,0.42657139999982974,3.0,47051.0,1000.0,0.1,2500
181,47,0.46914079999987734,3.0,48052.0,1000.0,0.1,2500
182,48,0.5130165999999008,3.0,49053.0,1000.0,0.1,2500
183,49,0.5572216999999,2.0,50055.0,1000.0,0.1,2500
184,50,0.5992387999999664,2.0,51056.0,1000.0,0.1,2500
185,51,0.6416838000000098,2.0,52057.0,1000.0,0.1,2500
186,52,0.6850259999998798,2.0,53058.0,1000.0,0.1,2500
187,53,0.7285695999999007,2.0,54059.0,1000.0,0.1,2500
188,54,0.7721430999999939,2.0,55060.0,1000.0,0.1,2500
189,55,0.814824599999838,2.0,56061.0,1000.0,0.1,2500
190,56,0.8582816999999068,2.0,57062.0,1000.0,0.1,2500
191,57,0.9019146999999066,2.0,58063.0,1000.0,0.1,2500
192,58,0.9454960999999003,2.0,59064.0,1000.0,0.1,2500
193,59,0.9892338999998174,2.0,60065.0,1000.0,0.1,2500
194,60,1.0331646999998156,2.0,61066.0,1000.0,0.1,2500
195,61,1.076632199999949,2.0,62067.0,1000.0,0.1,2500
196,62,1.1195763999999144,2.0,63068.0,1000.0,0.1,2500
197,63,1.1619046999999227,2.0,64069.0,1000.0,0.1,2500
198,64,1.2046210999999403,2.0,65070.0,1000.0,0.1,2500
199,65,1.2468638999998802,2.0,66071.0,1000.0,0.1,2500
200,66,1.2896595999998226,2.0,67072.0,1000.0,0.1,2500
201,67,1.3337017999999716,2.0,68073.0,1000.0,0.1,2500
202,68,1.3777847999999722,2.0,69074.0,1000.0,0.1,2500
203,69,1.4223035999998501,2.0,70075.0,1000.0,0.1,2500
204,70,1.4658119999999144,2.0,71076.0,1000.0,0.1,2500
205,71,1.5097622999999203,2.0,72077.0,1000.0,0.1,2500
206,72,1.5536888999999974,2.0,73078.0,1000.0,0.1,2500
207,73,1.5989418999999998,2.0,74079.0,1000.0,0.1,2500
208,74,1.6441430999998374,2.0,75080.0,1000.0,0.1,2500
209,75,1.6878897999999936,2.0,76081.0,1000.0,0.1,2500
210,76,1.7307882000000063,1.0,77083.0,1000.0,0.1,2500
211,77,1.7743826999999328,1.0,78084.0,1000.0,0.1,2500
212,78,1.8173428000000058,1.0,79085.0,1000.0,0.1,2500
213,79,1.8609152999999878,1.0,80086.0,1000.0,0.1,2500
214,80,1.904549599999882,1.0,81087.0,1000.0,0.1,2500
215,81,1.9464210999999523,1.0,82088.0,1000.0,0.1,2500
216,82,1.989896999999928,1.0,83089.0,1000.0,0.1,2500
217,83,0.03536819999999352,1.0,84090.0,1000.0,0.1,2500
218,84,0.08485360000008768,1.0,85091.0,1000.0,0.1,2500
219,85,0.1272707000000537,1.0,86092.0,1000.0,0.1,2500
220,86,0.1696518000001106,1.0,87093.0,1000.0,0.1,2500
221,87,0.21249469999997928,1.0,88094.0,1000.0,0.1,2500
222,88,0.2552860000000692,1.0,89095.0,1000.0,0.1,2500
223,89,0.29924110000001747,1.0,90096.0,1000.0,0.1,2500
224,90,0.3430045000000064,1.0,91097.0,1000.0,0.1,2500
225,91,0.38675820000003114,1.0,92098.0,1000.0,0.1,2500
226,92,0.4303353000000243,1.0,93099.0,1000.0,0.1,2500
227,93,0.47269570000003114,1.0,94100.0,1000.0,0.1,2500
228,94,0.5151201000001038,1.0,95101.0,1000.0,0.1,2500
229,95,0.5570004000001063,1.0,96102.0,1000.0,0.1,2500
230,96,0.6003648000000794,1.0,97103.0,1000.0,0.1,2500
231,97,0.6435610000000906,1.0,98104.0,1000.0,0.1,2500
232,98,0.6874801999999818,1.0,99105.0,1000.0,0.1,2500
233,99,0.7306843000001209,1.0,100106.0,1000.0,0.1,2500
234,100,0.7738850000000639,1.0,101107.0,1000.0,0.1,2500
235,101,0.8174126999999771,1.0,102108.0,1000.0,0.1,2500
236,102,0.8597581999999875,0.0,103110.0,1000.0,0.1,2500
237,0,0.03536149999990812,18.0,1000.0,1000.0,0.3,2500
238,1,0.08375139999998282,8.0,2002.0,1000.0,0.3,2500
239,2,0.1247656000000461,7.0,3004.0,1000.0,0.3,2500
240,3,0.16674409999995987,7.0,4005.0,1000.0,0.3,2500
241,4,0.20824760000004972,7.0,5006.0,1000.0,0.3,2500
242,5,0.25029429999995045,7.0,6007.0,1000.0,0.3,2500
243,6,0.2931559000001016,6.0,7009.0,1000.0,0.3,2500
244,7,0.33454120000010334,6.0,8010.0,1000.0,0.3,2500
245,8,0.3775087999999869,6.0,9011.0,1000.0,0.3,2500
246,9,0.42038370000000214,6.0,10012.0,1000.0,0.3,2500
247,10,0.4629433000000063,6.0,11013.0,1000.0,0.3,2500
248,11,0.50511060000008,6.0,12014.0,1000.0,0.3,2500
249,12,0.5475083000001177,6.0,13015.0,1000.0,0.3,2500
250,13,0.5909504000001107,6.0,14016.0,1000.0,0.3,2500
251,14,0.6337091000000328,6.0,15017.0,1000.0,0.3,2500
252,15,0.6768809000000147,5.0,16019.0,1000.0,0.3,2500
253,16,0.7201634999998987,5.0,17020.0,1000.0,0.3,2500
254,17,0.763080200000104,5.0,18021.0,1000.0,0.3,2500
255,18,0.8055471000000125,5.0,19022.0,1000.0,0.3,2500
256,19,0.8470727999999781,4.0,20024.0,1000.0,0.3,2500
257,20,0.890117200000077,4.0,21025.0,1000.0,0.3,2500
258,21,0.9331214000001182,4.0,22026.0,1000.0,0.3,2500
